model,anomaly_type,auc,precision,recall,f1,latency_windows
physics_informed,amplitude_spikes,1.0,0.09090909090909091,1.0,0.16666666666666666,0
standard,amplitude_spikes,1.0,0.3125,1.0,0.47619047619047616,0
physics_informed,frequency_violations,0.9938908318207977,0.14121037463976946,1.0,0.2474747474747475,0
standard,frequency_violations,0.7659480278011422,0.30526315789473685,0.5918367346938775,0.4027777777777778,20
physics_informed,phase_discontinuities,0.9800566772936592,0.08656716417910448,0.9666666666666667,0.1589041095890411,1
standard,phase_discontinuities,0.9674105561459441,0.3020833333333333,0.9666666666666667,0.4603174603174603,1
physics_informed,damping_violations,0.935790217068094,0.15041782729805014,0.9152542372881356,0.2583732057416268,5
standard,damping_violations,0.9357716324710079,0.44537815126050423,0.8983050847457628,0.5955056179775281,6
physics_informed,missing_data,1.0,0.14102564102564102,1.0,0.24719101123595505,0
standard,missing_data,0.998136706874571,0.4777777777777778,0.9772727272727273,0.6417910447761194,0
physics_informed,white_noise_bursts,0.9850148302271017,0.147239263803681,0.9795918367346939,0.256,1
standard,white_noise_bursts,0.9607552348488202,0.4144144144144144,0.9387755102040817,0.575,0
physics_informed,harmonic_contamination,0.974799286351472,0.18789808917197454,1.0,0.3163538873994638,0
standard,harmonic_contamination,0.8560251263752602,0.38095238095238093,0.5423728813559322,0.44755244755244755,0
physics_informed,dc_offset_shifts,0.747034114775501,0.147239263803681,0.6075949367088608,0.23703703703703705,1
standard,dc_offset_shifts,0.6314213543736165,0.0,0.0,0.0,134
physics_informed,amplitude_modulation,0.27520164529708535,0.0,0.0,0.0,137
standard,amplitude_modulation,0.32035091101899155,0.0,0.0,0.0,172
