model,anomaly_type,auc,precision,recall,f1,latency_windows
physics_informed,amplitude_spikes,1.0,0.05917159763313609,1.0,0.11173184357541899,0
standard,amplitude_spikes,1.0,0.038560411311053984,1.0,0.07425742574257425,0
physics_informed,frequency_violations,0.9889326663420248,0.09702970297029703,1.0,0.17689530685920576,0
standard,frequency_violations,0.8224356987914472,0.05941845764854614,0.9591836734693877,0.11190476190476191,0
physics_informed,phase_discontinuities,0.979489904357067,0.056862745098039215,0.9666666666666667,0.10740740740740741,1
standard,phase_discontinuities,0.9758413035777541,0.038510911424903725,1.0,0.07416563658838071,0
physics_informed,damping_violations,0.9358273862622658,0.1005586592178771,0.9152542372881356,0.18120805369127516,5
standard,damping_violations,0.93292818911686,0.07204968944099378,0.9830508474576272,0.13425925925925927,0
physics_informed,missing_data,1.0,0.09109730848861283,1.0,0.16698292220113853,0
standard,missing_data,1.0,0.0561941251596424,1.0,0.10640870616686819,0
physics_informed,white_noise_bursts,0.9831555181725619,0.10061601642710473,1.0,0.1828358208955224,0
standard,white_noise_bursts,0.9558192040373633,0.06186868686868687,1.0,0.11652794292508918,0
physics_informed,harmonic_contamination,0.9645034195658638,0.12164948453608247,1.0,0.21691176470588236,0
standard,harmonic_contamination,0.8112548319952424,0.07435897435897436,0.9830508474576272,0.13825983313468415,1
physics_informed,dc_offset_shifts,0.7357098257365045,0.1524390243902439,0.9493670886075949,0.2626970227670753,1
standard,dc_offset_shifts,0.4900522222852926,0.09419354838709677,0.9240506329113924,0.17096018735362997,1
physics_informed,amplitude_modulation,0.27362704457084097,0.018633540372670808,0.13043478260869565,0.03260869565217391,27
standard,amplitude_modulation,0.4063915935602043,0.06692406692406692,0.7536231884057971,0.12293144208037825,6
