model,anomaly_type,auc,precision,recall,f1,latency_windows
physics_informed,amplitude_spikes,1.0,0.09090909090909091,1.0,0.16666666666666666,0
standard,amplitude_spikes,1.0,0.3225806451612903,1.0,0.4878048780487805,0
physics_informed,frequency_violations,0.9878923369781752,0.14244186046511628,1.0,0.24936386768447838,0
standard,frequency_violations,0.8584488025144982,0.31521739130434784,0.5918367346938775,0.41134751773049644,20
physics_informed,phase_discontinuities,0.9783917817924195,0.08708708708708708,0.9666666666666667,0.15977961432506887,1
standard,phase_discontinuities,0.9738930216082182,0.3118279569892473,0.9666666666666667,0.4715447154471545,1
physics_informed,damping_violations,0.9351955099613442,0.15126050420168066,0.9152542372881356,0.25961538461538464,5
standard,damping_violations,0.9155701754385965,0.45217391304347826,0.8813559322033898,0.5977011494252874,7
physics_informed,missing_data,1.0,0.14193548387096774,1.0,0.24858757062146894,0
standard,missing_data,0.9975973325487888,0.43434343434343436,0.9772727272727273,0.6013986013986014,0
physics_informed,white_noise_bursts,0.9830227101686662,0.14814814814814814,0.9795918367346939,0.257372654155496,1
standard,white_noise_bursts,0.9683474257381912,0.42,0.8571428571428571,0.5637583892617449,2
physics_informed,harmonic_contamination,0.9660087719298246,0.18971061093247588,1.0,0.31891891891891894,0
standard,harmonic_contamination,0.7354854296758846,0.3188405797101449,0.3728813559322034,0.34375,4
physics_informed,dc_offset_shifts,0.7280467730033491,0.13271604938271606,0.5443037974683544,0.21339950372208435,1
standard,dc_offset_shifts,0.6352244990634047,0.16666666666666666,0.12658227848101267,0.14388489208633093,0
physics_informed,amplitude_modulation,0.2751052411709888,0.0,0.0,0.0,133
standard,amplitude_modulation,0.439602815000482,0.0,0.0,0.0,197
